,Pathway_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
R-CEL-68952,DNA replication initiation,15713,15996,16284,16311,16497,17677,18077,30616,33697,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-68962,Activation of the pre-replicative complex,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69017,CDK-mediated phosphorylation and removal of Cdc6,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69091,Polymerase switching,30616,33697,456216,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69166,Removal of the Flap Intermediate,33697,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69183,Processive synthesis on the lagging strand,33697,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69202,Cyclin E associated events during G1/S transition ,15377,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69231,Cyclin D associated events in G1,15377,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69273,Cyclin A/B1/B2 associated events during G2/M transition,15377,15414,16680,17790,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69473,G2/M DNA damage checkpoint,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69478,G2/M DNA replication checkpoint,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-69656,Cyclin A:Cdk2-associated events at S phase entry,15377,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70171,Glycolysis,15351,15361,15377,15378,15873,16027,17489,17925,18148,18420,28602,28938,29103,30616,30769,32966,43474,456216,57540,57604,57634,57642,57945,58225,58272,58289,58702,59776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70221,Glycogen breakdown (glycogenolysis),16027,16077,17925,18420,29035,29108,30616,456216,58225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70263,Gluconeogenesis,15351,15361,15377,15378,15956,15996,16027,16526,16810,17552,18420,29035,29985,29991,30616,30744,30769,30797,32966,43474,456216,57540,57604,57634,57642,57945,58225,58272,58289,58702,59776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70268,Pyruvate metabolism,15346,15351,15361,15378,15694,16238,16474,16526,16856,18009,18420,29105,30797,422,57540,57945,58937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70350,Fructose catabolism,15377,15378,17378,18105,18420,30616,32398,456216,57540,57642,57945,58272,59776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70370,Galactose catabolism,16077,17973,18066,18307,18420,57540,58225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70635,Urea cycle,15377,15729,16199,16349,29035,32682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70688,Proline catabolism,15377,15378,16238,17388,17877,18240,60039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70895,Branched-chain amino acid catabolism,11805,15346,15351,15377,15378,15449,15467,15476,15477,15478,15479,15486,15487,15488,15539,16238,16256,16526,16530,16810,17544,17865,17877,27754,28259,28654,29985,30616,43474,456216,57427,57540,57762,57945,58045,58937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-70921,Histidine catabolism,15377,15378,15414,15727,16680,18323,18327,27384,28938,30817,32513,57540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71032,Propionyl-CoA catabolism,15465,15466,15539,16526,18408,30616,43474,456216,57292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71064,Lysine catabolism,15346,15377,15378,15379,15473,15524,15753,16134,16238,16240,16474,16526,16752,16810,16927,17082,17460,17877,17917,18009,29985,30913,32551,43474,57540,57945,58769,58937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71240,Tryptophan catabolism,15361,15377,15378,15379,15793,16474,16946,17380,17442,17627,18009,18377,29033,29044,43580,55528,57912,57972,58095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71262,Carnitine synthesis,15377,15378,15379,15786,16244,16526,16810,17126,17311,18020,29033,30031,38290,57305,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71336,Pentose phosphate pathway,11563,15343,15377,15378,15721,16132,16474,16526,16802,16863,16897,16938,17363,18009,18420,29033,30616,35425,456216,47013,57634,57737,58225,58937,59776,78679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71384,Ethanol oxidation,15343,15346,15351,15366,15377,15378,16027,16225,16236,29105,29888,30089,30616,48926,57540,57945,58758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71403,Citric acid cycle (TCA cycle),151,15346,15351,15361,15377,15378,15996,16238,16474,16526,16810,17460,17552,18009,18012,18420,29035,30031,30408,30616,30744,30769,30797,43474,456216,57292,57540,57945,58937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-71737,Pyrophosphate hydrolysis,15377,18420,29888,43474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72086,mRNA Capping,15414,15996,16680,17345,17552,33697,43474,4705,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72163,mRNA Splicing - Major Pathway,33697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72165,mRNA Splicing - Minor Pathway,33697,74035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72187,mRNA 3'-end processing,30616,33697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72649,Translation initiation complex formation,15996,2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72695,"Formation of the ternary complex, and subsequently, the 43S complex",15996,2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72702,Ribosomal scanning and start codon recognition,15996,2651,30616,36080,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,15996,17552,2651,43474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72731,Recycling of eIF2:GDP,15996,17552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-72764,Eukaryotic Translation Termination,15377,15414,15996,16680,36080,83690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-727802,Transport of nucleotide sugars,15820,16082,16264,16556,16650,16695,17009,17200,17345,17361,17980,18066,18307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73614,Pyrimidine salvage,15377,15698,16450,16695,16704,17013,17361,17562,17568,17748,17802,18116,18420,28542,28938,29105,30616,35425,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73621,Pyrimidine catabolism,15377,15378,15698,15901,15918,16238,16320,16450,16474,16526,16695,1670,16704,16958,17013,17361,17562,17568,17621,17622,17748,17821,18009,18261,18420,27468,28542,28938,29105,30408,35425,43474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73772,RNA Polymerase I Promoter Escape,15713,15996,17677,30616,33697,4705,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73776,RNA Polymerase II Promoter Escape,15713,15996,16027,17677,29888,30616,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73779,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73817,Purine ribonucleoside monophosphate biosynthesis,15377,15378,15635,15637,15652,15919,15996,16027,16526,17111,17202,17284,17345,17552,17909,18272,18319,18381,18406,18413,18420,28413,28843,29033,29888,29985,29991,30616,32966,37154,43474,456216,57540,57945,58359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73843,5-Phosphoribose 1-diphosphate biosynthesis,16027,16284,17111,17713,18420,30616,43474,78679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-73856,RNA Polymerase II Transcription Termination,23367,30616,33697,33699,74035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-74217,Purine salvage,15377,15378,16027,16235,16335,16474,16708,16750,16830,17111,17172,17202,17256,17345,17368,17596,17713,18009,18420,28542,28938,28997,29105,29888,30616,35425,40196,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-74259,Purine catabolism,10049,15377,15379,15652,16039,16192,16235,16238,16240,16750,16856,17172,17202,17345,17368,17596,17712,17775,17858,18420,28542,28806,28807,28997,29888,30408,35425,43474,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75102,C6 deamination of adenosine,15377,16134,33697,67208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75105,Fatty acyl-CoA biosynthesis,15346,15351,15377,15378,15379,15531,15534,15541,15756,16474,16518,16526,17544,18009,18097,30616,30744,30769,30797,36080,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75109,Triglyceride biosynthesis,15346,15372,15375,15377,15379,15978,16975,17389,17754,17815,17855,17984,29089,30616,35746,37554,43474,456216,52575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75876,Synthesis of very long-chain fatty acyl-CoAs,15346,15377,15378,15456,15514,15525,15531,15541,15756,15843,16027,16474,16526,18009,29888,30616,50570,50571,50583,50998,63821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75896,Plasmalogen biosynthesis,15346,15378,15525,15756,16125,16238,16474,17197,17868,18009,57642,63818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75953,RNA Polymerase II Transcription Initiation,15713,15996,17677,29888,30616,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-75955,RNA Polymerase II Transcription Elongation,15713,15996,17677,30616,33697,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-76005,Response to elevated platelet cytosolic Ca2+,17815,18303,29108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,30616,43474,456216,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-76061,RNA Polymerase III Transcription Initiation From Type 1 Promoter,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77042,Formation of editosomes by ADAR proteins,67208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77075,RNA Pol II CTD phosphorylation and interaction with CE,30616,456216,61120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77108,Utilization of Ketone Bodies,15344,15345,15346,15351,30031,57292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77111,Synthesis of Ketone Bodies,13705,15344,15345,15346,15351,15467,16027,18420,29888,30616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77285,Beta oxidation of myristoyl-CoA to lauroyl-CoA,15346,15351,15377,15378,15521,27466,27721,28726,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77288,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,15378,16238,17877,29119,29126,29140,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77289,Mitochondrial Fatty Acid Beta-Oxidation,15346,15351,15377,15489,15904,16027,16238,17877,17984,29888,30616,33184,59554,61907,85944,85945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77305,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,15346,15351,15377,15378,15491,15525,15532,16238,17877,27402,28935,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,15346,15351,15377,15378,15471,27668,27868,28493,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77346,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,10723,15346,15351,15377,15378,15533,16238,16474,17877,18009,28325,28493,28528,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77348,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,15346,15351,15377,15378,15533,16238,17877,27537,27540,28264,28632,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,15346,15351,15377,15378,15517,27648,28276,28706,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,15345,15377,15378,15453,15473,57540,57945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77387,Insulin receptor recycling,15378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77588,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,33699,74035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-77595,Processing of Intronless Pre-mRNAs,23367,33697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-804914,Transport of fatty acids,15756,16196,17351,28822,28866,28875,30805,30813,9254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,16040,16235,16335,16704,16708,16750,17256,17368,17562,17568,17596,17748,17821,29101,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-844456,The NLRP3 inflammasome,26523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-879518,Transport of organic anions,15544,15551,15553,15555,16814,17474,18332,28774,4551,63836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-880009,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,16238,16724,16810,17877,32796,32797,57706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-881907,Gastrin-CREB signalling pathway via PKC and MAPK,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8847453,Synthesis of PIPs in the nucleus,15377,16500,18348,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8847993,ERBB2 Activates PTK6 Signaling,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8849175,Threonine catabolism,16134,30831,58020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8849468,PTK6 Regulates Proteins Involved in RNA Processing,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8849469,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8849470,PTK6 Regulates Cell Cycle,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8849471,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",15996,17552,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8849472,PTK6 Down-Regulation,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8850843,Phosphate bond hydrolysis by NTPDase proteins,15377,15713,15996,16027,16695,17013,17202,17239,17345,17361,17552,17659,17677,17808,18075,18077,18420,29108,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8851805,MET activates RAS signaling,15996,17552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8851907,MET activates PI3K/AKT signaling,16618,18348,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-CEL-8853383,Lysosomal oligosaccharide catabolism,15377,17411,29105,4208,71553,91279,91280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
